gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3098150391	4a00502d-6342-4294-aad1-9727e5c24041	urn:catalog:NINA:TOV-E:202012082560	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus argentatus		SPECIES	Larus argentatus Pontoppidan, 1763	Larus argentatus		NO	Varaldsøy	Vestland	PRESENT		46fec380-8e1d-11dd-8679-b8a03c50a862	60.09076	5.92858	5000.0		115.0	65.0			2020-06-06T00:00:00	6	6	2020	2481139	2481139	HUMAN_OBSERVATION		TOV - Extensive monitoring of bird in Norway	202012082560				CC_BY_4_0					2022-09-08T13:52:00.837Z		
3098150338	4a00502d-6342-4294-aad1-9727e5c24041	urn:catalog:NINA:TOV-E:201704442550	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus canus		SPECIES	Larus canus Linnaeus, 1758	Larus canus		NO	Innerdalsvatnet	Innlandet	PRESENT		46fec380-8e1d-11dd-8679-b8a03c50a862	62.62786	10.17227	5000.0		1030.0	30.0			2017-06-28T00:00:00	28	6	2017	7982160	7982160	HUMAN_OBSERVATION		TOV - Extensive monitoring of bird in Norway	201704442550				CC_BY_4_0					2022-09-08T13:52:00.825Z		
3098150276	4a00502d-6342-4294-aad1-9727e5c24041	urn:catalog:NINA:TOV-E:202020712550	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus canus		SPECIES	Larus canus Linnaeus, 1758	Larus canus		NO	Torskefjorddalen	Troms og Finnmark	PRESENT		46fec380-8e1d-11dd-8679-b8a03c50a862	70.65081	27.27716	5000.0		250.0	70.0			2020-06-20T00:00:00	20	6	2020	7982160	7982160	HUMAN_OBSERVATION		TOV - Extensive monitoring of bird in Norway	202020712550				CC_BY_4_0					2022-09-08T13:52:00.814Z		
3098150242	4a00502d-6342-4294-aad1-9727e5c24041	urn:catalog:NINA:TOV-E:201312132550	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus canus		SPECIES	Larus canus Linnaeus, 1758	Larus canus		NO	Jondal	Vestland	PRESENT		46fec380-8e1d-11dd-8679-b8a03c50a862	60.28315	6.30816	5000.0		255.0	245.0			2013-06-08T00:00:00	8	6	2013	7982160	7982160	HUMAN_OBSERVATION		TOV - Extensive monitoring of bird in Norway	201312132550				CC_BY_4_0					2022-09-08T13:52:00.801Z		
3098150229	4a00502d-6342-4294-aad1-9727e5c24041	urn:catalog:NINA:TOV-E:201015102550	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus canus		SPECIES	Larus canus Linnaeus, 1758	Larus canus		NO	Holbuvatnet	Møre og Romsdal	PRESENT		46fec380-8e1d-11dd-8679-b8a03c50a862	62.50478	8.36674	5000.0		1100.0	200.0			2010-07-02T00:00:00	2	7	2010	7982160	7982160	HUMAN_OBSERVATION		TOV - Extensive monitoring of bird in Norway	201015102550				CC_BY_4_0					2022-09-08T13:52:00.808Z		
3098150214	4a00502d-6342-4294-aad1-9727e5c24041	urn:catalog:NINA:TOV-E:201017112550	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus canus		SPECIES	Larus canus Linnaeus, 1758	Larus canus		NO	Holden	Trøndelag	PRESENT		46fec380-8e1d-11dd-8679-b8a03c50a862	64.07837	11.0003	5000.0		350.0	50.0			2010-06-16T00:00:00	16	6	2010	7982160	7982160	HUMAN_OBSERVATION		TOV - Extensive monitoring of bird in Norway	201017112550				CC_BY_4_0					2022-09-08T13:52:00.801Z		
3098150117	4a00502d-6342-4294-aad1-9727e5c24041	urn:catalog:NINA:TOV-E:201715082550	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus canus		SPECIES	Larus canus Linnaeus, 1758	Larus canus		NO	Hareid	Møre og Romsdal	PRESENT		46fec380-8e1d-11dd-8679-b8a03c50a862	62.39297	6.03906	5000.0		200.0	200.0			2017-05-28T00:00:00	28	5	2017	7982160	7982160	HUMAN_OBSERVATION		TOV - Extensive monitoring of bird in Norway	201715082550				CC_BY_4_0					2022-09-08T13:52:00.776Z		
3098150101	4a00502d-6342-4294-aad1-9727e5c24041	urn:catalog:NINA:TOV-E:201715082560	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus argentatus		SPECIES	Larus argentatus Pontoppidan, 1763	Larus argentatus		NO	Hareid	Møre og Romsdal	PRESENT		46fec380-8e1d-11dd-8679-b8a03c50a862	62.39297	6.03906	5000.0		200.0	200.0			2017-05-28T00:00:00	28	5	2017	2481139	2481139	HUMAN_OBSERVATION		TOV - Extensive monitoring of bird in Norway	201715082560				CC_BY_4_0					2022-09-08T13:52:00.749Z		
3098149983	4a00502d-6342-4294-aad1-9727e5c24041	urn:catalog:NINA:TOV-E:201914132580	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus marinus		SPECIES	Larus marinus Linnaeus, 1758	Larus marinus		NO	Vilnes	Vestland	PRESENT		46fec380-8e1d-11dd-8679-b8a03c50a862	61.29922	5.01069	5000.0		100.0	100.0			2019-05-28T00:00:00	28	5	2019	2481172	2481172	HUMAN_OBSERVATION		TOV - Extensive monitoring of bird in Norway	201914132580				CC_BY_4_0					2022-09-08T13:52:00.721Z		
3098149943	4a00502d-6342-4294-aad1-9727e5c24041	urn:catalog:NINA:TOV-E:201120282550	Animalia	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus canus		SPECIES	Larus canus Linnaeus, 1758	Larus canus		NO	Kvenvik	Troms og Finnmark	PRESENT		46fec380-8e1d-11dd-8679-b8a03c50a862	69.93854	23.14932	5000.0		120.0	50.0			2011-06-19T00:00:00	19	6	2011	7982160	7982160	HUMAN_OBSERVATION		TOV - Extensive monitoring of bird in Norway	201120282550				CC_BY_4_0					2022-09-08T13:52:00.716Z		
