"model","metric","species","Parameter","metricEst","value"
"VSEDetect","RMSE",2,"alpha1","mean",4.23669411402272
"VSEDetect","RMSE",2,"beta0","mean",3.39303446797489
"VSEDetect","RMSE",2,"beta1","mean",2.99552865558577
"VSEDetect","RMSE",2,"ecoRange","mean",29.1660704253616
"VSEDetect","RMSE",2,"ecoSD","mean",0.888108323691176
"VSEDetect","RMSE",2,"gamma0","mean",0.22892801294552
"VSEDetect","RMSE",2,"gamma1","mean",10.2049185672369
"VSEDetect","RMSE",2,"rangeW2","mean",6.85940673871059
"VSEDetect","RMSE",2,"stdW2","mean",1.18578968447633
"VSEDetectMisclass","Bias",1,"alpha0","mean",-0.888246125251913
"VSEDetectMisclass","Bias",1,"alpha1","mean",-1.41648257870272
"VSEDetectMisclass","Bias",1,"beta0","mean",-0.75129421631154
"VSEDetectMisclass","Bias",1,"beta1","mean",-0.313217590181729
"VSEDetectMisclass","Bias",1,"ecoRange","mean",16.5185244040962
"VSEDetectMisclass","Bias",1,"ecoSD","mean",-0.557646941059673
"VSEDetectMisclass","Bias",1,"gamma0","mean",0.208098009934723
"VSEDetectMisclass","Bias",1,"gamma1","mean",-0.699689790982609
"VSEDetectMisclass","Bias",1,"rangeW2","mean",4.86358683257706
"VSEDetectMisclass","Bias",1,"stdW2","mean",-0.302858954285806
"VSEDetectMisclass","Bias",2,"alpha0","mean",-0.888246125251913
"VSEDetectMisclass","Bias",2,"alpha1","mean",-1.41648257870272
"VSEDetectMisclass","Bias",2,"beta0","mean",0.356053727151092
"VSEDetectMisclass","Bias",2,"beta1","mean",0.223131622737616
"VSEDetectMisclass","Bias",2,"ecoRange","mean",10.7482305759646
"VSEDetectMisclass","Bias",2,"ecoSD","mean",-0.676281889529977
"VSEDetectMisclass","Bias",2,"gamma0","mean",0.12557259964954
"VSEDetectMisclass","Bias",2,"gamma1","mean",-0.842191780507668
"VSEDetectMisclass","Bias",2,"rangeW2","mean",4.86358683257706
"VSEDetectMisclass","Bias",2,"stdW2","mean",-0.302858954285806
"VSEDetectMisclass","RMSE",1,"alpha0","mean",1.92805057881944
"VSEDetectMisclass","RMSE",1,"alpha1","mean",2.66252176589347
"VSEDetectMisclass","RMSE",1,"beta0","mean",2.01302561011239
"VSEDetectMisclass","RMSE",1,"beta1","mean",1.41955076124611
"VSEDetectMisclass","RMSE",1,"ecoRange","mean",16.5185244040962
"VSEDetectMisclass","RMSE",1,"ecoSD","mean",0.557646941059673
"VSEDetectMisclass","RMSE",1,"gamma0","mean",0.462337283657286
"VSEDetectMisclass","RMSE",1,"gamma1","mean",5.61799161008274
"VSEDetectMisclass","RMSE",1,"rangeW2","mean",4.86358683257706
"VSEDetectMisclass","RMSE",1,"stdW2","mean",0.302858954285806
"VSEDetectMisclass","RMSE",2,"alpha0","mean",1.92805057881944
"VSEDetectMisclass","RMSE",2,"alpha1","mean",2.66252176589347
"VSEDetectMisclass","RMSE",2,"beta0","mean",1.70626791122107
"VSEDetectMisclass","RMSE",2,"beta1","mean",1.22317368743607
"VSEDetectMisclass","RMSE",2,"ecoRange","mean",10.7482305759646
"VSEDetectMisclass","RMSE",2,"ecoSD","mean",0.752644149350988
"VSEDetectMisclass","RMSE",2,"gamma0","mean",0.460548297097838
"VSEDetectMisclass","RMSE",2,"gamma1","mean",3.70124582239662
"VSEDetectMisclass","RMSE",2,"rangeW2","mean",4.86358683257706
"VSEDetectMisclass","RMSE",2,"stdW2","mean",0.302858954285806
"naive","Bias",1,"alpha0","mean",NA
"naive","Bias",1,"alpha1","mean",NA
"naive","Bias",1,"beta0","mean",-2.40556754499525
"naive","Bias",1,"beta1","mean",0.0849030360621922
"naive","Bias",1,"ecoRange","mean",25.834181764127
"naive","Bias",1,"ecoSD","mean",-0.0791968328322744
"naive","Bias",1,"gamma0","mean",NA
"naive","Bias",1,"gamma1","mean",NA
"naive","Bias",1,"rangeW2","mean",NA
"naive","Bias",1,"stdW2","mean",NA
"naive","Bias",2,"alpha0","mean",NA
"naive","Bias",2,"alpha1","mean",NA
"naive","Bias",2,"beta0","mean",-2.87338940576283
"naive","Bias",2,"beta1","mean",-0.458734494511754
"naive","Bias",2,"ecoRange","mean",20.1600378559494
"naive","Bias",2,"ecoSD","mean",-0.0912520292711133
"naive","Bias",2,"gamma0","mean",NA
"naive","Bias",2,"gamma1","mean",NA
"naive","Bias",2,"rangeW2","mean",NA
"naive","Bias",2,"stdW2","mean",NA
"naive","RMSE",1,"alpha0","mean",NA
"naive","RMSE",1,"alpha1","mean",NA
"naive","RMSE",1,"beta0","mean",2.48733435536543
"naive","RMSE",1,"beta1","mean",0.681343675144161
"naive","RMSE",1,"ecoRange","mean",25.834181764127
"naive","RMSE",1,"ecoSD","mean",0.148170492980741
"naive","RMSE",1,"gamma0","mean",NA
"naive","RMSE",1,"gamma1","mean",NA
"naive","RMSE",1,"rangeW2","mean",NA
"naive","RMSE",1,"stdW2","mean",NA
"naive","RMSE",2,"alpha0","mean",NA
"naive","RMSE",2,"alpha1","mean",NA
"naive","RMSE",2,"beta0","mean",2.94503816977623
"naive","RMSE",2,"beta1","mean",0.944943244882715
"naive","RMSE",2,"ecoRange","mean",20.1600378559494
"naive","RMSE",2,"ecoSD","mean",0.160661114080836
"naive","RMSE",2,"gamma0","mean",NA
"naive","RMSE",2,"gamma1","mean",NA
"naive","RMSE",2,"rangeW2","mean",NA
"naive","RMSE",2,"stdW2","mean",NA
"Detect","Bias",1,"alpha0","sd",NA
"Detect","Bias",1,"alpha1","sd",NA
"Detect","Bias",1,"beta0","sd",2.15459738735971
"Detect","Bias",1,"beta1","sd",0.869448427712715
"Detect","Bias",1,"ecoRange","sd",7.71047116546416
"Detect","Bias",1,"ecoSD","sd",73.672642077368
"Detect","Bias",1,"gamma0","sd",0.0611110743788351
"Detect","Bias",1,"gamma1","sd",261.507517177286
"Detect","Bias",1,"rangeW2","sd",NA
"Detect","Bias",1,"stdW2","sd",NA
"Detect","Bias",2,"alpha0","sd",NA
"Detect","Bias",2,"alpha1","sd",NA
"Detect","Bias",2,"beta0","sd",59.9030201862776
"Detect","Bias",2,"beta1","sd",2165.65664369026
"Detect","Bias",2,"ecoRange","sd",10.1295300739349
"Detect","Bias",2,"ecoSD","sd",177.950465524787
"Detect","Bias",2,"gamma0","sd",0.0536702673545835
"Detect","Bias",2,"gamma1","sd",290.069538258131
"Detect","Bias",2,"rangeW2","sd",NA
"Detect","Bias",2,"stdW2","sd",NA
"Detect","RMSE",1,"alpha0","sd",NA
"Detect","RMSE",1,"alpha1","sd",NA
"Detect","RMSE",1,"beta0","sd",7.21785378695155
"Detect","RMSE",1,"beta1","sd",5.71116844335032
"Detect","RMSE",1,"ecoRange","sd",7.71047116546414
"Detect","RMSE",1,"ecoSD","sd",73.6202562662161
"Detect","RMSE",1,"gamma0","sd",0.0204970170827246
"Detect","RMSE",1,"gamma1","sd",261.219836480169
"Detect","RMSE",1,"rangeW2","sd",NA
"Detect","RMSE",1,"stdW2","sd",NA
"Detect","RMSE",2,"alpha0","sd",NA
"Detect","RMSE",2,"alpha1","sd",NA
"Detect","RMSE",2,"beta0","sd",60.4480326241571
"Detect","RMSE",2,"beta1","sd",2165.53071438528
"Detect","RMSE",2,"ecoRange","sd",10.1295300739349
"Detect","RMSE",2,"ecoSD","sd",177.886059824659
"Detect","RMSE",2,"gamma0","sd",0.0342562604370505
"Detect","RMSE",2,"gamma1","sd",289.49232625074
"Detect","RMSE",2,"rangeW2","sd",NA
"Detect","RMSE",2,"stdW2","sd",NA
"VSE","Bias",1,"alpha0","sd",96.002743204609
"VSE","Bias",1,"alpha1","sd",11001.5981165951
"VSE","Bias",1,"beta0","sd",0.695895866115191
"VSE","Bias",1,"beta1","sd",0.501562445258946
"VSE","Bias",1,"ecoRange","sd",11.7499520326819
"VSE","Bias",1,"ecoSD","sd",0.161057085883449
"VSE","Bias",1,"gamma0","sd",NA
"VSE","Bias",1,"gamma1","sd",NA
"VSE","Bias",1,"rangeW2","sd",13.7982964649777
"VSE","Bias",1,"stdW2","sd",473.33456620907
"VSE","Bias",2,"alpha0","sd",96.002743204609
