"insects","model","variable","value","sd","lower","upper"
"Bumblebees","IDMSH","muLatitude",0.150589812540817,0.238679337892484,-0.314998949818171,0.624830122904394
"Bumblebees","SOM","muLatitude",0.995450685793768,0.891109264633938,-0.741037981460823,2.90471944569371
"Bumblebees","IDMCO","muLatitude",-0.367362174207775,0.255534355765241,-0.900497590976491,0.111935753770515
"Bumblebees","IGSH","muLatitude",0.074133711078277,0.198163762108503,-0.309149385113619,0.496756037590856
"Bumblebees","IGCO","muLatitude",-0.58340594523191,0.171201316719902,-0.934044409677115,-0.250804258252171
"Hoverflies","IDMSH","muLatitude",-0.0440507263933592,0.117271620279293,-0.280239756021762,0.18423249976581
"Hoverflies","SOM","muLatitude",-0.0134469235291487,0.13060701073876,-0.279920361229574,0.235164032787053
"Hoverflies","IDMCO","muLatitude",-0.161628728545329,0.1073072959689,-0.372565098647734,0.044598670313688
"Hoverflies","IGSH","muLatitude",0.0331509496995126,0.139795314661655,-0.224770095093274,0.314108370747722
"Hoverflies","IGCO","muLatitude",-0.199489205292823,0.120799555079347,-0.44147259643774,0.0270951409644642
"Solitary bees","IDMSH","muLatitude",-1.74430969531866,0.356358773117914,-2.50934168593184,-1.11188950459586
"Solitary bees","SOM","muLatitude",-1.85739234471329,0.393582046507028,-2.72291773014026,-1.17999677643571
"Solitary bees","IDMCO","muLatitude",-1.18486223184019,0.344719975643241,-1.86075605624288,-0.515223844592728
"Solitary bees","IGSH","muLatitude",-0.354255342095367,0.475465683879618,-1.40323246194875,0.577242042187889
"Solitary bees","IGCO","muLatitude",-0.970090464797543,0.325911089315874,-1.67287831876695,-0.384740335874993
"Bumblebees","IDMSH","muSpecies",-1.36107907838934,0.372368845859445,-2.13238308630959,-0.657507231520522
"Bumblebees","SOM","muSpecies",1.11455215371788,1.26880586698077,-0.857087527798475,4.10957614734219
"Bumblebees","IDMCO","muSpecies",0.0791210730975543,0.681232812069964,-1.05200192237461,1.68485219375738
"Bumblebees","IGSH","muSpecies",1.50587483929567,0.204609160013262,1.13778065218268,1.93245166474833
"Bumblebees","IGCO","muSpecies",10.9811200202088,5.01170919461498,3.70547340885345,23.004760023348
"Hoverflies","IDMSH","muSpecies",-1.41056540983548,0.200147153258185,-1.81663034053828,-1.02145141700985
"Hoverflies","SOM","muSpecies",-0.842745166167643,0.184839769796653,-1.21327600560351,-0.484031535062918
"Hoverflies","IDMCO","muSpecies",-0.850788368994427,0.171741547310541,-1.21079700063157,-0.539750528227992
"Hoverflies","IGSH","muSpecies",1.75624245378882,0.130059856004873,1.520873491483,2.024499636481
"Hoverflies","IGCO","muSpecies",7.92692003050675,2.93588110903827,4.24756200900586,13.9131343473802
"Solitary bees","IDMSH","muSpecies",-3.03169727810472,0.336020904616166,-3.73865794373118,-2.42495817515135
"Solitary bees","SOM","muSpecies",-2.846224511365,0.321007097743746,-3.50955461017933,-2.24903950520746
"Solitary bees","IDMCO","muSpecies",-2.61215607445465,0.309917545672894,-3.2250095660058,-1.98784390767942
"Solitary bees","IGSH","muSpecies",2.49269115842486,0.540683347235341,1.67622496129866,3.71559511769733
"Solitary bees","IGCO","muSpecies",12.0151907122482,4.52606814459523,5.29211083637328,21.4521071536718
"Bumblebees","IDMSH","mulambda",0.00335879186644985,9.98634193688688,-19.6607405295927,19.5846331452417
"Bumblebees","SOM","mulambda",-0.047430723430915,9.95759246803591,-19.2792493725269,19.4593794441788
"Bumblebees","IDMCO","mulambda",-3.02335806763436,2.77874003147868,-8.70975384637406,3.38962508806519
"Bumblebees","IGSH","mulambda",0.0990604023254926,10.0077804095365,-19.2815137355205,19.7142780993112
"Bumblebees","IGCO","mulambda",-2.88013237629402,2.76474481613285,-8.6023999738978,3.43033592981346
"Hoverflies","IDMSH","mulambda",-0.00551877789941374,9.91214714876615,-19.448238718341,19.5728262611177
"Hoverflies","SOM","mulambda",-0.00833080216329727,9.94416583349228,-19.5643683184764,19.5119858462493
"Hoverflies","IDMCO","mulambda",-3.5462889548177,2.82077164932162,-9.26945200602163,2.90612704903108
"Hoverflies","IGSH","mulambda",-0.000221543087328977,9.91756724788156,-19.7650121874957,19.4216434915469
"Hoverflies","IGCO","mulambda",-3.49639313010381,2.72756646192297,-9.14509234212668,2.76121884354418
"Solitary bees","IDMSH","mulambda",0.145144023137334,10.0243532706604,-19.5980529603575,19.7703328533269
"Solitary bees","SOM","mulambda",-0.018262721667977,9.9004104688768,-19.1512597232013,19.6055072110926
"Solitary bees","IDMCO","mulambda",-6.24135784557868,2.94545738106933,-11.9060734899302,0.919805965878261
"Solitary bees","IGSH","mulambda",-0.1125916628063,10.0186910560324,-19.7538849205986,19.3010539756486
"Solitary bees","IGCO","mulambda",-6.09903701098621,2.85917122462322,-11.5828639513078,0.654676030726906
"Bumblebees","IDMSH","rho",0.128569174001121,0.0172415713094765,0.0975700513793681,0.16540646850627
"Bumblebees","SOM","rho",24.9750643687444,14.3668775486442,1.30275339565962,48.654672485417
"Bumblebees","IDMCO","rho",0.569368257608099,0.129971047121805,0.36129810365457,0.870943926634956
"Bumblebees","IGSH","rho",0.0696244732558392,0.00813274602559635,0.0545843444914185,0.0865730160717207
"Bumblebees","IGCO","rho",0.576471276024659,0.122481502465898,0.378360076455312,0.854999367035675
"Hoverflies","IDMSH","rho",0.19741816838287,0.0189956078631349,0.162696290873335,0.236967592299975
"Hoverflies","SOM","rho",24.9902152724412,14.4511881267502,1.22088689204992,48.8186059435876
"Hoverflies","IDMCO","rho",1.08264690903121,0.178467224164739,0.786867688851105,1.48198488799814
