"Parameter","Rhat","nRows"
"alphaSites[1]",1.00010326390813,1542
"alphaSites[2]",1.00007078325798,1542
"alphaSites[3]",0.999973782234053,1542
"alphaSites[4]",1.00020816071247,1542
"alphaSites[5]",1.00018657966517,1542
"alphaSites[6]",1.00153901676407,1542
"alphaSites[7]",0.999972564295617,1542
"alphaSites[8]",1.00007179860801,1542
"alphaSites[9]",0.999960198312687,1542
"alphaSites[10]",1.00075217038125,1542
"alphaSites[11]",1.00006748587708,1542
"alphaSites[12]",1.00017720431828,1542
"alphaSites[13]",1.0003802495537,1542
"alphaSites[14]",1.00020215005062,1542
"alphaSites[15]",1.00099467407196,1542
"alphaSites[16]",0.999986019461276,1542
"alphaSites[17]",1.00004564106337,1542
"alphaSites[18]",1.0000467598523,1542
"alphaSites[19]",1.00021649715904,1542
"alphaSites[20]",0.999952863012967,1542
"alphaSites[21]",0.999920684071914,1542
"alphaSites[22]",1.0004175326584,1542
"alphaSites[23]",0.999930263600435,1542
"alphaSites[24]",1.00020609161195,1542
"alphaSites[25]",1.00001374987428,1542
"alphaSites[26]",1.00047223883822,1542
"alphaSites[27]",1.00004414396626,1542
"alphaSites[28]",1.00003501698395,1542
"alphaSites[29]",1.00006143340557,1542
"alphaSites[30]",0.999999216275818,1542
"alphaSites[31]",0.99992611285327,1542
"alphaSites[32]",1.00004453809563,1542
"alphaSites[33]",0.999988459050137,1542
"alphaSites[34]",0.999976158468492,1542
"alphaSites[35]",0.999978718306833,1542
"alphaSites[36]",0.999933176918602,1542
"alphaSites[37]",1.00005323954542,1542
"alphaSites[38]",0.99991972073365,1542
"alphaSites[39]",1.00032808737645,1542
"alphaSites[40]",1.00000070034535,1542
"alphaSites[41]",1.00012919503447,1542
"alphaSites[42]",1.00052531720486,1542
"alphaSites[43]",0.999993909508451,1542
"alphaSites[44]",1.00035668253697,1542
"alphaSites[45]",1.00119730845322,1542
"alphaSites[46]",1.00013201212249,1542
"alphaSites[47]",0.999966904854318,1542
"alphaSites[48]",0.999981526591255,1542
"alphaSites[49]",1.00040789488464,1542
"alphaSites[50]",1.00003397234001,1542
"alphaSites[51]",1.00017714895408,1542
"alphaSites[52]",0.999967183060327,1542
"alphaSites[53]",1.00005779799063,1542
"alphaSites[54]",0.999928835307912,1542
"alphaSites[55]",1.00018564616943,1542
"alphaSites[56]",1.00021783705631,1542
"alphaSites[57]",1.00016443234854,1542
"alphaSites[58]",1.00055155905887,1542
"alphaSites[59]",0.999914024895432,1542
"alphaSites[60]",0.99999003976221,1542
"alphaSites[61]",0.999980791711002,1542
"alphaSites[62]",1.00009462079599,1542
"alphaSites[63]",1.00012211339105,1542
"alphaSites[64]",0.999913958907503,1542
"alphaSites[65]",1.00003579227367,1542
"alphaSites[66]",0.999984886852699,1542
"alphaSites[67]",1.0003643881993,1542
"alphaSites[68]",1.00006536711891,1542
"alphaSites[69]",1.00001419483741,1542
"alphaSites[70]",0.999966296418843,1542
"alphaSites[71]",1.00040176130207,1542
"alphaSites[72]",0.999902507774446,1542
"alphaSites[73]",0.999998004187247,1542
"alphaSites[74]",0.999913023228052,1542
"alphaSpecies[1]",1.00066677700342,1542
"alphaSpecies[2]",1.00139360618095,1542
"alphaSpecies[3]",1.00099069586577,1542
"alphaSpecies[4]",1.0011210413479,1542
"alphaSpecies[5]",0.999942061385422,1542
"alphaSpecies[6]",1.00085993082988,1542
"alphaSpecies[7]",1.00045034486841,1542
"alphaSpecies[8]",1.00089993229801,1542
"alphaSpecies[9]",1.00015370014092,1542
"alphaSpecies[10]",1.00077672349786,1542
"alphaSpecies[11]",1.00000282487695,1542
"alphaSpecies[12]",0.999966066336061,1542
"alphaSpecies[13]",1.00023283524926,1542
"alphaSpecies[14]",1.00119135696558,1542
"alphaSpecies[15]",1.00029313738841,1542
"alphaSpecies[16]",0.999962442450901,1542
"alphaSpecies[17]",1.00010164300718,1542
"betaLambda",0.999983162193188,1542
"betaLatitude[1]",1.00082161788144,1542
"betaLatitude[2]",1.00111272402213,1542
"betaLatitude[3]",1.00028868978055,1542
"betaLatitude[4]",0.999962842148001,1542
"betaLatitude[5]",1.00050958057884,1542
"betaLatitude[6]",1.00239535243631,1542
"betaLatitude[7]",1.00030626946441,1542
"betaLatitude[8]",1.00042174499246,1542
"betaLatitude[9]",1.00048267203906,1542
"betaLatitude[10]",1.00051320700887,1542
"betaLatitude[11]",1.00011771519938,1542
"betaLatitude[12]",1.00121312409434,1542
"betaLatitude[13]",1.00057416512416,1542
"betaLatitude[14]",1.0029476787728,1542
"betaLatitude[15]",1.0005020712106,1542
"betaLatitude[16]",1.00026650203319,1542
"betaLatitude[17]",1.00068678410527,1542
"betaSpecies[1]",1.00077209594906,1542
"betaSpecies[2]",1.00336446149568,1542
"betaSpecies[3]",1.00157086425099,1542
"betaSpecies[4]",1.00062368586045,1542
"betaSpecies[5]",1.00026548973602,1542
"betaSpecies[6]",1.00299805486551,1542
"betaSpecies[7]",1.00068900450343,1542
"betaSpecies[8]",1.00011503532103,1542
"betaSpecies[9]",1.00092855775851,1542
"betaSpecies[10]",1.00116241705713,1542
"betaSpecies[11]",1.00001887781484,1542
"betaSpecies[12]",1.0003259041603,1542
"betaSpecies[13]",1.00121499927078,1542
"betaSpecies[14]",1.00224492279191,1542
"betaSpecies[15]",1.00059908165085,1542
"betaSpecies[16]",1.00240459499642,1542
"betaSpecies[17]",1.00037879767541,1542
"eta.lam[1]",1.0022934072614,1542
"eta.lam[2]",1.00061174881282,1542
"eta.lam[3]",1.00000047107232,1542
"eta.lam[4]",1.00087583302771,1542
"eta.lam[5]",1.00003408207859,1542
"eta.lam[6]",1.00229781463862,1542
"eta.lam[7]",1.00035463574544,1542
"eta.lam[8]",1.00160976764735,1542
"eta.lam[9]",0.999922782244982,1542
"eta.lam[10]",1.00005074465959,1542
"eta.lam[11]",1.00138052633811,1542
"eta.lam[12]",1.00081396380224,1542
"eta.lam[13]",1.00015634576836,1542
"eta.lam[14]",0.999933274589027,1542
"eta.lam[15]",1.00232994019318,1542
"eta.lam[16]",1.00061647562183,1542
"eta.lam[17]",1.00026844373555,1542
"eta.lam[18]",1.000861318401,1542
"eta.lam[19]",0.999904887049305,1542
"eta.lam[20]",1.00084345963947,1542
"eta.lam[21]",0.999978049313289,1542
"eta.lam[22]",1.00030710032581,1542
"eta.lam[23]",1.0003231956814,1542
"eta.lam[24]",1.00099374342766,1542
"eta.lam[25]",1.00072547663184,1542
"eta.lam[26]",1.00002450905662,1542
"eta.lam[27]",1.00012544947305,1542
"eta.lam[28]",1.00023378873646,1542
"eta.lam[29]",0.999904596486476,1542
"eta.lam[30]",0.999965595603404,1542
"eta.lam[31]",1.000174843,1542
"eta.lam[32]",1.00136252259747,1542
"eta.lam[33]",1.0004543005143,1542
"eta.lam[34]",1.00112408284182,1542
"eta.lam[35]",1.00011720385858,1542
"eta.lam[36]",1.00004191030365,1542
"eta.lam[37]",1.00101022151221,1542
"eta.lam[38]",1.00001355306586,1542
"eta.lam[39]",1.0001186721373,1542
