"muLatitude","muSpecies","muVisits","sigmaAlphaSites","sigmaAlphaSpecies","sigmaLambda","sigmaLatitude","sigmaSpecies","model","truth"
-0.412635480021,1.25516661438482,-0.514950313150235,0.490071892899349,0.779659156578178,5.01187946173018,0.435991119166345,0.188764610035699,"IDMSH","shared"
-0.375954792923938,1.19467683177181,-0.592285879527985,0.475425225732028,0.787011234898095,4.99333108005944,0.319007561544044,0.128896996146238,"IDMSH","shared"
-0.45456802706779,1.19367762327763,-0.555845154924667,0.473523440170086,0.806748008923777,5.04132489697485,0.373661114063629,0.155136860880749,"IDMSH","shared"
-0.371768465142097,1.14822669687634,-0.715319127746703,0.482361960751252,0.836061975997157,4.98287992247818,0.338618176530206,0.129624268717326,"IDMSH","shared"
-0.421960685662596,1.16356700289724,-0.489398532710249,0.45657921005376,0.794009885956103,5.04655290080169,0.379865498309981,0.154083504307986,"IDMSH","shared"
-0.447072281296975,1.23366497543437,-0.513981131074964,0.460407569845181,0.791392779991129,4.97931098064337,0.360912307998912,0.10436043392467,"IDMSH","shared"
-0.370412497127789,1.20650304613717,-0.53648415806958,0.486522461203071,0.806161392784849,4.96498187589642,0.403325428420066,0.185496104321007,"IDMSH","shared"
-0.399419977957078,1.22279305861486,-0.423852934675649,0.450689212773603,0.793300005023055,4.95304182767412,0.406867088830449,0.176076865027563,"IDMSH","shared"
-0.440614709685387,1.22297191760197,-0.551790568170309,0.513689698371577,0.764839911304393,5.04103938702787,0.390449255121204,0.227242692444109,"IDMSH","shared"
-0.355802203008734,1.18844146887387,-0.514971957544324,0.451780810148122,0.812570021098253,5.00591398393043,0.440389361878181,0.174955812360431,"IDMSH","shared"
-0.380082944990382,1.24592639423207,-0.484437078406016,0.488812154345608,0.788211600571136,5.04192924213304,0.34947929909596,0.164764440973567,"IDMSH","shared"
-0.43425601669255,1.23332123066857,-0.508385483217487,0.449079530184372,0.783027564175841,4.99420568441275,0.495721655245431,0.339090075157161,"IDMSH","shared"
-0.385096309253042,1.17795651425906,-0.565682558898867,0.460978735532808,0.81369003495949,5.00490326135793,0.354248090112949,0.132975962002455,"IDMSH","shared"
-0.395584440225987,1.26453103502137,-0.379676072384425,0.446907083742108,0.819949881166378,4.95312162388491,0.477123205776035,0.218803117828656,"IDMSH","shared"
