"BMC","RMC","BUMC","AUMC","truth","metric","parameters"
5.10699473738407,5.11008640562727,5.09424418029789,5.06910983172675,4.99,"mean","alphaP"
4.28951203493053,4.25755365310144,4.25742160660646,4.25249031377899,2,"mean","alphaPSig"
2.25642975378753,2.25496385684081,2.24789753004829,2.26126353919488,2,"mean","alphaPhi"
-0.489095718367958,-0.488965078557479,-0.473711298600768,-0.577835104855273,-0.33,"mean","alphaPsi"
1.68554503768438,1.72872640774823,1.72863406803695,1.72697685301488,2,"mean","alphaPsiSig"
0.115852105351433,0.188466799272158,0.18993534454251,0.190639878644091,0.227,"mean","betaP"
1.16884189292773,1.25446123962833,1.25493951132733,1.25716631720863,3,"mean","betaPSig"
1.92287215152118,1.92655391968838,1.91877949097153,1.92640353566015,2,"mean","betaPhi"
-1.00268287888721,-1.04515751261369,-1.0409155623893,-1.04266138937555,-1.64,"mean","betaPsi"
2.18934271721398,2.22097508276751,2.22163295761495,2.22249772855723,2,"mean","betaPsiSig"
0.0513338988506633,0.0498868260939297,0.0498504417382002,0.0481482995439351,0.05,"mean","colonisationProb"
0.132048843868938,0.143698848294438,0.326153067513544,0.427803934362547,NA,"sd","alphaP"
1.53531751710907,1.51882389255023,1.51800970828664,1.51716498740453,NA,"sd","alphaPSig"
0.240270038218313,0.240619671888111,0.283904665079675,0.452906616915941,NA,"sd","alphaPhi"
0.0545273703103908,0.059766656024016,0.292471470679095,0.390125078774997,NA,"sd","alphaPsi"
1.40051396353805,1.44553953000014,1.44591397639019,1.44694339504443,NA,"sd","alphaPsiSig"
0.197413092511152,0.225504586883194,0.230007922495678,0.438052523019426,NA,"sd","betaP"
1.33035753105636,1.35262064093846,1.35353088880043,1.35622885030827,NA,"sd","betaPSig"
0.379808678206774,0.38322104517389,0.420574279559603,0.539137934140698,NA,"sd","betaPhi"
0.0970423451126916,0.106035466183265,0.143328276981151,0.388346723642566,NA,"sd","betaPsi"
1.47336031767373,1.47025337056397,1.47064484524495,1.46984683629804,NA,"sd","betaPsiSig"
0.0018223388282047,0.00199813172544883,0.00244464143713595,0.00922911413567203,NA,"sd","colonisationProb"
