"","alpha[1]","alpha[2]","alpha0","beta[1]","beta[2]","beta0","sigma","psi.fs","theta2","method","""mean"""
"1","-0.187954449051398","0.727160948444471","-1.32230204944658","-0.0188526453801156","1.11830526987262","1.88028219558135","1.81972211972593","0.6814",NA,"iNim-RW","mean"
"2","-0.966071518616245","0.998777700282085","-0.437756531193058","1.7106286580456","-1.47896836881354","1.08851299412632","3.69036204542373","0.4468",NA,"MCMC","mean"
"3","-0.429250856283629","-0.948708402356069","1.00154238397304","1.05994459902549","1.6124007612867","-1.61569654638521","3.86389954520214","0.4456","-9.60415154716411","iNim2-RW","mean"
"4","-1","1","-0.45","2","-2","2.197","1","0.4664","10","truth","mean"
"5","0.122072929365247","0.0438648896463965","0.12152537143769","7.43387919405668e-09","2.66683968270614e-08","1.49639218342848e-08","0.118374696813998","0.242666972352559",NA,"iNim-RW","sd"
"6","0.0263792857627827","0.0257128288557455","0.0214212465823482","0.0919618834242775","0.094564662838133","0.113001247015004","1.36116960217891","0.0483699725435518",NA,"MCMC","sd"
"7","0.0236672281294716","0.0291119107700272","0.0261925456306536","0","0","0","0","0.0422239714980887","0","iNim2-RW","sd"
