"muLatitude","muSpecies","sigmaAlphaSites","sigmaAlphaSpecies","sigmaLambda","sigmaSites","sigmaSpecies","model","truth"
-1.10941793511226,-9.28578303794557,2.55426646605288,2.5586120207423,2.5784007700675,1.06814472199079,2.36508529101451,"GCMSH","covariate"
-0.818812428736401,-9.06104445758441,2.57920702663512,2.57944182397618,2.57706661213418,1.15171351328586,1.79425360315376,"GCMSH","covariate"
-1.00734055239433,-10.520652332489,2.57548122438165,2.59949826404275,2.56975456987486,1.20583186075361,2.73909430341357,"GCMSH","covariate"
-0.842910327568372,-8.97477450455483,2.57053083816222,2.56958068594615,2.56829773613304,1.15351459952106,2.15418308957015,"GCMSH","covariate"
-0.937582409386477,-9.35765172775485,2.56742488824959,2.60314226143344,2.56677239858364,1.03901494230242,2.62980232167393,"GCMSH","covariate"
-1.05473701511521,-0.0315826936170987,2.57152038505091,2.56927599856925,2.52746340235631,1.1820177409339,2.57751423105319,"GCMCO","covariate"
-0.81313068274635,-0.02748668411678,2.57086634699754,2.58407439745124,2.50673696761303,1.25181559509706,2.58469340646364,"GCMCO","covariate"
-1.08916523288487,-0.0230787971524551,2.57965538127758,2.59595380608314,2.58076012981663,1.20280178745663,2.58869026124051,"GCMCO","covariate"
-0.778627630960237,-0.040878444428722,2.57007099759583,2.57762285356438,2.52302693399066,1.00024104207102,2.57672229158463,"GCMCO","covariate"
-0.919503446360497,-0.0299831840822475,2.58544292897265,2.58736116056532,2.527644108106,1.04911968170469,2.56303289091146,"GCMCO","covariate"
-0.686971199385285,-2.1340387147778,1.01257953723311,1.02290498670471,2.59505885256842,0.972871461310042,1.06013379719007,"SOM","covariate"
-0.643007226325413,-2.42865696456293,1.10095032259008,0.966193597760378,2.56529242575793,1.12336711896812,1.27719975713392,"SOM","covariate"
-0.592253508952335,-2.21754535789817,0.991576810413139,1.02721355548984,2.58055073886888,1.05118178355853,0.917410496311855,"SOM","covariate"
-0.809985993943949,-2.32616161702879,1.09364864546693,0.944837154052791,2.5677396813435,0.97700959947721,1.10949046418994,"SOM","covariate"
-0.615100472029002,-2.41128252691264,1.06912713650287,0.931099509121041,2.5555294145332,1.01099857154272,1.29060550328982,"SOM","covariate"
-0.698346769669635,-2.16203295342291,1.00744136137114,1.02884009190289,2.57506994812608,0.991402360921846,1.06531102869993,"IDMSH","covariate"
-0.651601149653519,-2.45739380586295,1.10142426275124,0.961937207098862,2.57053111375495,1.13692760916533,1.26496525640226,"IDMSH","covariate"
-0.603175193136534,-2.25382130487164,0.98673615439831,1.03122013080746,2.57608254100404,1.0787257750106,0.920688119997742,"IDMSH","covariate"
-0.829957232526903,-2.37723063354676,1.09133356391451,0.941183930301556,2.56239787741016,1.00038660895822,1.10510138333405,"IDMSH","covariate"
-0.618075900090415,-2.43151652810884,1.07262219728216,0.934410236778107,2.55909596990269,1.03376336135827,1.27940375396522,"IDMSH","covariate"
-0.737489487296071,-2.18001531772292,1.00549031964995,1.0265105653905,2.50495218371519,1.02410240570589,1.0996975613422,"IDMCO","covariate"
-0.626528964885046,-2.45268124246224,1.10374950472193,0.962998332920534,2.47385556695529,1.10838874236337,1.28226732268651,"IDMCO","covariate"
-0.594346895418802,-2.216729798958,0.991511614294727,1.02316211667841,2.54229868511916,1.02008460565631,0.928075381104209,"IDMCO","covariate"
-0.812870664632623,-2.35316710620146,1.08889841790927,0.95027706136712,2.46902856218574,1.00224183468652,1.11207281656633,"IDMCO","covariate"
